Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price
Maruti Wagon R Lxi Cng,Nairobi,2010,72000,Cng,Manual,First,26.6,998.0,58.16,5.0,259000.0
Hyundai Creta 1.6 Crdi Sx Option,Eldoret,2015,41000,Diesel,Manual,First,19.67,1582.0,126.2,5.0,1850000.0
Honda Jazz V,Mombasa,2011,46000,Petrol,Manual,First,18.2,1199.0,88.7,5.0,666000.0
Maruti Ertiga Vdi,Mombasa,2012,87000,Diesel,Manual,First,20.77,1248.0,88.76,7.0,888000.0
Audi A4 New 2.0 Tdi Multitronic,Naivasha,2013,40670,Diesel,Automatic,Second,15.2,1968.0,140.8,5.0,2625519.9999999995
Hyundai Eon Lpg Era Plus Option,Kisumu,2012,75000,Lpg,Manual,First,21.1,814.0,55.2,5.0,347800.0
Nissan Micra Diesel Xv,Nyeri,2013,86999,Diesel,Manual,First,23.08,1461.0,63.1,5.0,518000.0
Toyota Innova Crysta 2.8 Gx At 8S,Nairobi,2016,36000,Diesel,Automatic,First,11.36,2755.0,171.5,8.0,2590000.0
Volkswagen Vento Diesel Comfortline,Eldoret,2013,64430,Diesel,Manual,First,20.54,1598.0,103.6,5.0,769600.0
Tata Indica Vista Quadrajet Ls,Mombasa,2012,65932,Diesel,Manual,Second,22.3,1248.0,74.0,5.0,288600.0
Maruti Ciaz Zeta,Mombasa,2018,25692,Petrol,Manual,First,21.56,1462.0,103.25,5.0,1472599.9999999998
Honda City 1.5 V At Sunroof,Kisumu,2012,60000,Petrol,Automatic,First,16.8,1497.0,116.3,5.0,664520.0
Maruti Swift Vdi Bsiv,Nyeri,2015,64424,Diesel,Manual,First,25.2,1248.0,74.0,5.0,828800.0
Land Rover Range Rover 2.2L Pure,Nairobi,2014,72000,Diesel,Automatic,First,12.7,2179.0,187.7,5.0,3996000.0
Land Rover Freelander 2 Td4 Se,Eldoret,2012,85000,Diesel,Automatic,Second,0.0,2179.0,115.0,5.0,2590000.0
Mitsubishi Pajero Sport 4X4,Nairobi,2014,110000,Diesel,Manual,First,13.5,2477.0,175.56,7.0,2220000.0
Honda Amaze S I-Dtech,Mombasa,2016,58950,Diesel,Manual,First,25.8,1498.0,98.6,5.0,799200.0
Maruti Swift Ddis Vdi,Nyeri,2017,25000,Diesel,Manual,First,28.4,1248.0,74.0,5.0,886520.0
Renault Duster 85Ps Diesel Rxl Plus,Mombasa,2014,77469,Diesel,Manual,First,20.45,1461.0,83.8,5.0,938320.0
Mercedes-Benz New C-Class C 220 Cdi Be Avantgare,Nakuru,2014,78500,Diesel,Automatic,First,14.84,2143.0,167.62,5.0,4144000.0
Bmw 3 Series 320D,Mombasa,2014,32982,Diesel,Automatic,First,22.69,1995.0,190.0,5.0,2745400.0
Maruti S Cross Ddis 200 Alpha,Nakuru,2015,55392,Diesel,Manual,Second,23.65,1248.0,88.5,5.0,1221000.0
Audi A6 2011-2015 35 Tfsi Technology,Nairobi,2015,55985,Petrol,Automatic,First,13.53,1984.0,177.01,5.0,3478000.0
Hyundai I20 1.2 Magna,Kisumu,2010,45807,Petrol,Manual,First,18.5,1197.0,80.0,5.0,276760.0
Volkswagen Vento Petrol Highline At,Kisumu,2010,33000,Petrol,Automatic,First,14.4,1598.0,103.6,5.0,421800.0
Honda City Corporate Edition,Nairobi,2012,51920,Petrol,Manual,First,16.8,1497.0,116.3,5.0,629000.0
Nissan Micra Diesel Xv,Kisumu,2012,54000,Diesel,Manual,First,23.08,1461.0,63.1,5.0,629000.0
Maruti Alto K10 2010-2014 Vxi,Kisumu,2013,54000,Petrol,Manual,Second,20.92,998.0,67.1,5.0,407000.0
Honda Wrv I-Vtec Vx,Mombasa,2018,37430,Petrol,Manual,First,17.5,1199.0,88.7,5.0,1465200.0
Toyota Innova 2.5 V Diesel 7-Seater,Nairobi,2007,262000,Diesel,Manual,Fourth & Above,12.8,2494.0,102.0,7.0,592000.0
Renault Duster 110Ps Diesel Rxz Pack,Nakuru,2013,62000,Diesel,Manual,First,19.01,1461.0,108.45,5.0,1147000.0
Toyota Corolla Altis G,Nairobi,2012,87615,Petrol,Manual,First,14.53,1798.0,138.1,5.0,999000.0
Mahindra Ssangyong Rexton Rx7,Nakuru,2013,72000,Diesel,Automatic,Second,11.18,2696.0,184.0,7.0,1850000.0
Audi A6 2.7 Tdi,Kisumu,2010,35000,Diesel,Automatic,First,12.4,2698.0,179.5,5.0,1702000.0
Volkswagen Vento 1.6 Highline,Naivasha,2014,55431,Petrol,Manual,Second,16.09,1598.0,103.5,5.0,1033040.0
