Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price,Brand,Model,Car_Age,Luxury_Brand,Kilometers_Per_Year,Power_Per_CC
Nairobi,2010,72000,Cng,Manual,First,26.6,998.0,58.16,5.0,259000.0,Maruti,Wagon R Lxi Cng,16,0,4500.0,0.05827655310621242
Eldoret,2015,41000,Diesel,Manual,First,19.67,1582.0,126.2,5.0,1850000.0,Hyundai,Creta 1.6 Crdi Sx Option,11,0,3727.2727272727275,0.0797724399494311
Mombasa,2011,46000,Petrol,Manual,First,18.2,1199.0,88.7,5.0,666000.0,Honda,Jazz V,15,0,3066.6666666666665,0.07397831526271893
Mombasa,2012,87000,Diesel,Manual,First,20.77,1248.0,88.76,7.0,888000.0,Maruti,Ertiga Vdi,14,0,6214.285714285715,0.07112179487179487
Naivasha,2013,40670,Diesel,Automatic,Second,15.2,1968.0,140.8,5.0,2625519.9999999995,Audi,A4 New 2.0 Tdi Multitronic,13,1,3128.4615384615386,0.07154471544715447
Kisumu,2012,75000,Lpg,Manual,First,21.1,814.0,55.2,5.0,347800.0,Hyundai,Eon Lpg Era Plus Option,14,0,5357.142857142857,0.06781326781326781
Nyeri,2013,86999,Diesel,Manual,First,23.08,1461.0,63.1,5.0,518000.0,Nissan,Micra Diesel Xv,13,0,6692.2307692307695,0.0431895961670089
Nairobi,2016,36000,Diesel,Automatic,First,11.36,2755.0,171.5,8.0,2590000.0,Toyota,Innova Crysta 2.8 Gx At 8S,10,0,3600.0,0.062250453720508164
Eldoret,2013,64430,Diesel,Manual,First,20.54,1598.0,103.6,5.0,769600.0,Volkswagen,Vento Diesel Comfortline,13,0,4956.153846153846,0.06483103879849812
Mombasa,2012,65932,Diesel,Manual,Second,22.3,1248.0,74.0,5.0,288600.0,Tata,Indica Vista Quadrajet Ls,14,0,4709.428571428572,0.05929487179487179
Mombasa,2018,25692,Petrol,Manual,First,21.56,1462.0,103.25,5.0,1472599.9999999998,Maruti,Ciaz Zeta,8,0,3211.5,0.07062243502051983
Kisumu,2012,60000,Petrol,Automatic,First,16.8,1497.0,116.3,5.0,664520.0,Honda,City 1.5 V At Sunroof,14,0,4285.714285714285,0.07768871075484302
Nyeri,2015,64424,Diesel,Manual,First,25.2,1248.0,74.0,5.0,828800.0,Maruti,Swift Vdi Bsiv,11,0,5856.727272727273,0.05929487179487179
Nairobi,2014,72000,Diesel,Automatic,First,12.7,2179.0,187.7,5.0,3996000.0,Land,Rover Range Rover 2.2L Pure,12,1,6000.0,0.08614043139054611
Eldoret,2012,85000,Diesel,Automatic,Second,0.0,2179.0,115.0,5.0,2590000.0,Land,Rover Freelander 2 Td4 Se,14,1,6071.428571428572,0.05277650298301973
Nairobi,2014,110000,Diesel,Manual,First,13.5,2477.0,175.56,7.0,2220000.0,Mitsubishi,Pajero Sport 4X4,12,0,9166.666666666666,0.07087605974969721
Mombasa,2016,58950,Diesel,Manual,First,25.8,1498.0,98.6,5.0,799200.0,Honda,Amaze S I-Dtech,10,0,5895.0,0.06582109479305741
Nyeri,2017,25000,Diesel,Manual,First,28.4,1248.0,74.0,5.0,886520.0,Maruti,Swift Ddis Vdi,9,0,2777.777777777778,0.05929487179487179
Mombasa,2014,77469,Diesel,Manual,First,20.45,1461.0,83.8,5.0,938320.0,Renault,Duster 85Ps Diesel Rxl Plus,12,0,6455.75,0.05735797399041752
Nakuru,2014,78500,Diesel,Automatic,First,14.84,2143.0,167.62,5.0,4144000.0,Mercedes-Benz,New C-Class C 220 Cdi Be Avantgare,12,1,6541.666666666667,0.07821745216985534
Mombasa,2014,32982,Diesel,Automatic,First,22.69,1995.0,190.0,5.0,2745400.0,Bmw,3 Series 320D,12,0,2748.5,0.09523809523809523
Nakuru,2015,55392,Diesel,Manual,Second,23.65,1248.0,88.5,5.0,1221000.0,Maruti,S Cross Ddis 200 Alpha,11,0,5035.636363636364,0.07091346153846154
Nairobi,2015,55985,Petrol,Automatic,First,13.53,1984.0,177.01,5.0,3478000.0,Audi,A6 2011-2015 35 Tfsi Technology,11,1,5089.545454545455,0.08921875
Kisumu,2010,45807,Petrol,Manual,First,18.5,1197.0,80.0,5.0,276760.0,Hyundai,I20 1.2 Magna,16,0,2862.9375,0.06683375104427736
Kisumu,2010,33000,Petrol,Automatic,First,14.4,1598.0,103.6,5.0,421800.0,Volkswagen,Vento Petrol Highline At,16,0,2062.5,0.06483103879849812
Nairobi,2012,51920,Petrol,Manual,First,16.8,1497.0,116.3,5.0,629000.0,Honda,City Corporate Edition,14,0,3708.5714285714284,0.07768871075484302
Kisumu,2012,54000,Diesel,Manual,First,23.08,1461.0,63.1,5.0,629000.0,Nissan,Micra Diesel Xv,14,0,3857.1428571428573,0.0431895961670089
Kisumu,2013,54000,Petrol,Manual,Second,20.92,998.0,67.1,5.0,407000.0,Maruti,Alto K10 2010-2014 Vxi,13,0,4153.846153846154,0.06723446893787574
Mombasa,2018,37430,Petrol,Manual,First,17.5,1199.0,88.7,5.0,1465200.0,Honda,Wrv I-Vtec Vx,8,0,4678.75,0.07397831526271893
Nairobi,2007,262000,Diesel,Manual,Fourth & Above,12.8,2494.0,102.0,7.0,592000.0,Toyota,Innova 2.5 V Diesel 7-Seater,19,0,13789.473684210527,0.0408981555733761
Nakuru,2013,62000,Diesel,Manual,First,19.01,1461.0,108.45,5.0,1147000.0,Renault,Duster 110Ps Diesel Rxz Pack,13,0,4769.2307692307695,0.0742299794661191
Nairobi,2012,87615,Petrol,Manual,First,14.53,1798.0,138.1,5.0,999000.0,Toyota,Corolla Altis G,14,0,6258.214285714285,0.0768075639599555
Nakuru,2013,72000,Diesel,Automatic,Second,11.18,2696.0,184.0,7.0,1850000.0,Mahindra,Ssangyong Rexton Rx7,13,0,5538.461538461538,0.06824925816023739
Kisumu,2010,35000,Diesel,Automatic,First,12.4,2698.0,179.5,5.0,1702000.0,Audi,A6 2.7 Tdi,16,1,2187.5,0.06653076352853966
Naivasha,2014,55431,Petrol,Manual,Second,16.09,1598.0,103.5,5.0,1033040.0,Volkswagen,Vento 1.6 Highline,12,0,4619.25,0.06476846057571965
Nyeri,2009,83816,Petrol,Manual,Second,14.0,1061.0,64.0,5.0,273800.0,Maruti,Wagon R Lxi Bsiii,17,0,4930.35294117647,0.060320452403393024
Mombasa,2018,50075,Diesel,Manual,First,24.3,1248.0,88.5,5.0,1277240.0000000002,Maruti,Vitara Brezza Zdi Plus,8,0,6259.375,0.07091346153846154
Nairobi,2017,52000,Petrol,Manual,First,18.15,1198.0,82.0,5.0,717799.9999999999,Mahindra,Kuv 100 Mfalcon G80 K6 5Str Aw,9,0,5777.777777777777,0.06844741235392321
Eldoret,2013,85000,Diesel,Automatic,First,11.74,2987.0,254.8,5.0,4144000.0,Mercedes-Benz,M-Class Ml 350 Cdi,13,1,6538.461538461538,0.08530297957817208
Mombasa,2013,62000,Diesel,Manual,First,22.07,1199.0,73.9,5.0,740000.0,Volkswagen,Polo Diesel Trendline 1.2L,13,0,4769.2307692307695,0.06163469557964971
Nairobi,2008,90000,Petrol,Manual,Second,19.7,796.0,46.3,5.0,185000.0,Maruti,Alto Lxi,18,0,5000.0,0.05816582914572864
Mombasa,2014,19698,Petrol,Manual,First,25.4,624.0,37.5,4.0,226440.0,Tata,Nano Lx Se,12,0,1641.5,0.06009615384615385
Naivasha,2017,22033,Diesel,Manual,First,25.32,1198.0,77.0,6.0,825840.0,Mahindra,Kuv 100 Mfalcon D75 K8 Dual Tone,9,0,2448.1111111111113,0.0642737896494157
Mombasa,2014,35487,Petrol,Manual,First,18.5,1197.0,82.9,5.0,701520.0,Hyundai,I20 Magna Optional 1.2,12,0,2957.25,0.06925647451963242
Nakuru,2014,46374,Petrol,Automatic,First,14.62,1999.0,149.92,5.0,1309800.0,Hyundai,Elantra 2.0 Sx Option At,12,0,3864.5,0.07499749874937468
Nairobi,2016,52001,Petrol,Automatic,First,14.28,1798.0,138.03,5.0,1496280.0,Toyota,Corolla Altis G At,10,0,5200.1,0.0767686318131257
Thika,2008,58005,Diesel,Manual,Second,14.9,1991.0,112.2,5.0,629000.0,Hyundai,Elantra Crdi,18,0,3222.5,0.056353591160221
Nakuru,2012,70704,Petrol,Manual,First,11.25,2694.0,163.7,7.0,1620600.0,Toyota,Innova Crysta 2.7 Gx Mt,14,0,5050.285714285715,0.06076466221232368
Nyeri,2014,75000,Diesel,Manual,First,24.4,1120.0,71.0,5.0,569800.0,Hyundai,Xcent 1.1 Crdi S,12,0,6250.0,0.06339285714285714
Nyeri,2012,75800,Diesel,Manual,Second,16.55,2498.0,105.0,6.0,814000.0,Mahindra,Thar Crde Ac,14,0,5414.285714285715,0.042033626901521216
Mombasa,2015,13648,Diesel,Automatic,First,17.11,1968.0,174.33,5.0,3171640.0,Audi,A4 2.0 Tdi 177 Bhp Premium Plus,11,1,1240.7272727272727,0.08858231707317074
Nairobi,2014,52000,Diesel,Manual,First,22.9,1248.0,74.0,5.0,629000.0,Maruti,Swift Ldi,12,0,4333.333333333333,0.05929487179487179
Kisumu,2014,53000,Diesel,Manual,First,17.8,1248.0,75.0,5.0,488400.0,Maruti,Swift Ldi Bsiv,12,0,4416.666666666667,0.06009615384615385
Nairobi,2013,65650,Diesel,Manual,First,28.4,1248.0,74.0,5.0,569800.0,Maruti,Swift Vdi,13,0,5050.0,0.05929487179487179
Mombasa,2015,54000,Petrol,Manual,Third,18.9,1197.0,82.0,5.0,532800.0,Hyundai,Grand I10 Sportz,11,0,4909.090909090909,0.06850459482038429
Kisumu,2015,39000,Petrol,Manual,First,15.04,1598.0,103.2,5.0,590520.0,Volkswagen,Vento 2013-2015 1.6 Comfortline,11,0,3545.4545454545455,0.06458072590738423
Mombasa,2017,16542,Petrol,Manual,First,25.17,799.0,53.3,5.0,488400.0,Renault,Kwid Rxt,9,0,1838.0,0.06670838548185232
Kisumu,2010,32000,Petrol,Manual,First,20.36,1197.0,78.9,5.0,306359.99999999994,Hyundai,I10 Asta,16,0,2000.0,0.06591478696741855
